city;district;front;size;property_age;bedrooms;bathrooms;livingrooms;kitchen;garage;driver_room;maid_room;furnished;ac;roof;pool;frontyard;basement;duplex;stairs;elevator;fireplace;price;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘„«·;250;0;5;5;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;80000;
 «·—Ì«÷;   ÕÌ «·„⁄Ì“·… ;€—»;300;5;5;5;2;0;1;0;0;0;0;0;0;1;0;0;1;0;1;45000;
 «·—Ì«÷;   ÕÌ «·‰“Â… ;‘„«·;300;0;7;5;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;125000;
 «·—Ì«÷;   ÕÌ «·„⁄Ì“·… ;€—»;250;0;5;5;1;1;1;1;1;0;0;0;0;1;0;0;1;0;0;55000;
 «·—Ì«÷;   ÕÌ «·”·Ì„«‰Ì… ;€—»;375;10;4;5;3;1;1;1;1;0;1;0;1;1;1;1;1;0;0;110000;
 «·—Ì«÷;   ÕÌ «·—„«· ;‘„«·;300;0;4;4;1;1;1;0;1;0;1;1;0;1;0;0;1;0;1;45000;
 «·—Ì«÷;   ÕÌ «·„Ê‰”Ì… ;Ã‰Ê»;312;0;3;4;1;1;1;1;1;0;0;1;0;1;0;0;1;1;0;65000;
 «·—Ì«÷;   ÕÌ «·—„«· ;Ã‰Ê»;312;0;5;5;5;0;1;1;1;1;0;1;1;1;0;0;1;0;0;50000;
 «·—Ì«÷;   ÕÌ «·—„«· ;€—»;300;0;3;5;1;1;1;0;1;0;0;1;0;1;0;0;1;0;1;40000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘„«·;400;0;5;5;2;1;1;1;1;0;1;0;0;1;0;0;1;0;0;100000;
 «·—Ì«÷;   ÕÌ «·ﬁ«œ”Ì… ;€—»;250;0;5;5;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;55000;
 «·—Ì«÷;   ÕÌ «·ﬁ«œ”Ì… ;€—»;250;0;5;5;2;0;1;1;0;0;0;1;0;0;0;1;1;0;0;55000;
 «·—Ì«÷;   ÕÌ «·—»Ì⁄ ;Ã‰Ê» €—»Ì;327;10;4;5;2;1;1;1;1;0;1;0;0;1;0;0;1;0;0;100000;
 «·—Ì«÷;   ÕÌ «·‰—Ã” ;‘„«·;336;0;5;5;2;1;1;1;1;0;1;0;1;1;0;0;0;1;0;140000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘—ﬁ;325;7;5;5;4;1;1;0;1;0;1;1;0;1;0;0;1;0;0;90000;
 «·—Ì«÷;   ÕÌ «·„Ê‰”Ì… ;Ã‰Ê»;325;2;4;4;2;0;1;1;1;0;0;1;0;0;0;0;1;0;0;50000;
 «·—Ì«÷;   ÕÌ «·Ì«”„Ì‰ ;‘„«·;312;9;6;5;2;1;1;0;0;0;1;0;0;1;0;0;1;0;0;85000;
 «·—Ì«÷;   ÕÌ ŸÂ—… ·»‰ ;‘„«· €—»Ì;500;8;7;5;1;1;1;1;1;0;1;0;0;1;0;0;1;0;1;50000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘„«·;250;0;5;5;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;80000;
 «·—Ì«÷;   ÕÌ «·—Ê÷… ;Ã‰Ê»;352;30;7;5;2;1;1;0;1;0;1;1;0;1;0;0;1;0;1;80000;
